iter	Passed	Remaining
0	0	97
1	1	59
2	1	46
3	1	38
4	1	34
5	2	32
6	2	30
7	2	28
8	2	27
9	2	26
10	3	26
11	3	25
12	3	25
13	3	24
14	4	24
15	4	23
16	4	22
17	4	22
18	5	21
19	5	21
20	5	20
21	5	20
22	6	20
23	6	19
24	6	19
25	6	18
26	6	18
27	7	18
28	7	18
29	7	17
30	7	17
31	8	17
32	8	17
33	8	16
34	8	16
35	9	16
36	9	15
37	9	15
38	9	15
39	10	15
40	10	14
41	10	14
42	10	14
43	10	13
44	11	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	12
51	13	12
52	13	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	14	9
60	15	9
61	15	9
62	15	9
63	15	8
64	16	8
65	16	8
66	16	8
67	16	7
68	17	7
69	17	7
70	17	7
71	17	6
72	18	6
73	18	6
74	18	6
75	19	6
76	19	5
77	19	5
78	19	5
79	20	5
80	20	4
81	20	4
82	20	4
83	21	4
84	21	3
85	21	3
86	21	3
87	22	3
88	22	2
89	22	2
90	22	2
91	23	2
92	23	1
93	23	1
94	24	1
95	24	1
96	24	0
97	24	0
98	24	0
99	25	0
