iter	Passed	Remaining
0	54	54336
1	54	27377
2	55	18328
3	55	13821
4	55	11093
5	56	9285
6	56	8002
7	56	7032
8	56	6271
9	57	5674
10	57	5180
11	57	4771
12	58	4469
13	59	4163
14	59	3896
15	59	3666
16	59	3461
17	60	3278
18	60	3119
19	60	2971
20	60	2838
21	61	2721
22	61	2617
23	61	2517
24	62	2427
25	62	2347
26	62	2269
27	63	2195
28	63	2127
29	63	2064
30	64	2003
31	64	1947
32	64	1893
33	64	1843
34	65	1794
35	65	1754
36	65	1711
37	66	1672
38	66	1636
39	66	1601
40	66	1566
41	67	1532
42	67	1500
43	67	1471
44	67	1442
45	68	1415
46	68	1388
47	68	1365
48	69	1342
49	69	1319
50	69	1296
51	69	1275
52	70	1254
53	70	1235
54	70	1215
55	71	1197
56	71	1179
57	71	1162
58	71	1146
59	72	1133
60	73	1128
61	73	1113
62	73	1099
63	74	1084
64	74	1070
65	74	1057
66	75	1044
67	75	1031
68	75	1019
69	75	1007
70	76	998
71	76	987
72	76	976
73	77	965
74	77	954
75	77	946
76	78	935
77	78	925
78	78	916
79	78	906
80	79	898
81	79	889
82	79	878
83	79	871
84	80	862
85	80	854
86	80	846
87	80	838
88	81	830
89	81	823
90	81	816
91	81	809
92	82	802
93	82	794
94	82	788
95	82	781
96	83	774
97	83	768
98	83	762
99	83	755
100	84	749
101	84	743
102	85	743
103	85	738
104	85	732
105	86	727
106	86	721
107	86	716
108	86	710
109	87	705
110	87	700
111	87	695
112	87	690
113	88	686
114	88	682
115	88	677
116	89	673
117	89	669
118	89	664
119	90	660
120	90	656
121	90	651
122	90	647
123	90	642
124	91	639
125	91	635
126	91	631
127	92	627
128	92	623
129	92	619
130	92	616
131	93	613
132	93	610
133	93	606
134	94	602
135	94	599
136	94	596
137	95	593
138	95	591
139	95	588
140	96	584
141	96	580
142	96	577
143	96	574
144	96	571
145	97	568
146	97	565
147	97	561
148	97	559
149	98	555
150	98	553
151	98	550
152	98	547
153	99	544
154	99	542
155	99	540
156	100	537
157	100	534
158	100	532
159	100	530
160	101	527
161	101	524
162	101	522
163	101	519
164	102	517
165	102	515
166	102	512
167	103	510
168	103	507
169	103	505
170	103	502
171	103	500
172	104	498
173	104	496
174	104	493
175	104	491
176	105	489
177	105	487
178	105	484
179	105	482
180	106	480
181	106	478
182	106	476
183	107	474
184	107	472
185	107	470
186	108	469
187	108	468
188	108	466
189	109	464
190	109	463
191	109	461
192	110	460
193	110	458
194	110	456
195	110	455
196	111	453
197	111	451
198	111	449
199	111	447
200	112	446
201	112	444
202	112	443
203	113	441
204	113	439
205	113	437
206	114	440
207	115	439
208	115	437
209	115	435
210	116	434
211	116	432
212	116	431
213	116	429
214	117	427
215	117	426
216	117	424
217	117	423
218	118	421
219	118	420
220	118	418
221	119	417
222	119	415
223	119	414
224	119	412
225	120	411
226	120	410
227	120	409
228	121	407
229	121	406
230	121	405
231	121	403
232	122	402
233	122	401
234	122	399
235	123	398
236	123	396
237	123	395
238	123	394
239	124	392
240	124	391
241	125	392
242	125	390
243	125	389
244	126	388
245	126	387
246	126	385
247	126	384
248	127	383
249	127	381
250	127	380
251	127	379
252	128	378
253	128	377
254	128	375
255	128	374
256	129	373
257	129	372
258	129	371
259	130	370
260	130	369
261	130	368
262	130	366
263	131	366
264	131	364
265	131	363
266	132	362
267	132	361
268	132	360
269	132	359
270	133	358
271	133	357
272	133	356
273	134	355
274	134	354
275	134	353
276	134	352
277	135	350
278	135	349
279	135	348
280	135	347
281	136	346
282	136	345
283	136	344
284	137	344
285	137	342
286	137	341
287	137	341
288	138	339
289	138	338
290	138	337
291	138	336
292	139	335
293	139	335
294	139	334
295	140	333
296	140	332
297	140	331
298	141	330
299	141	329
300	141	328
301	142	328
302	142	327
303	142	326
304	142	325
305	142	324
306	143	323
307	143	322
308	143	321
309	144	320
310	144	319
311	144	318
312	145	318
313	145	317
314	145	316
315	145	315
316	145	314
317	146	313
318	146	312
319	146	311
320	147	310
321	147	310
322	147	309
323	147	308
324	148	307
325	148	306
326	148	305
327	148	305
328	149	304
329	149	303
330	149	302
331	150	302
332	150	301
333	150	300
334	150	299
335	151	298
336	151	298
337	151	297
338	152	297
339	153	297
340	153	296
341	153	295
342	153	294
343	154	293
344	154	293
345	154	292
346	154	291
347	155	290
348	155	289
349	155	289
350	155	288
351	156	287
352	156	286
353	156	285
354	156	284
355	157	284
356	157	283
357	157	282
358	158	282
359	158	281
360	158	280
361	158	279
362	159	279
363	159	278
364	159	277
365	159	277
366	160	276
367	160	275
368	160	274
369	160	273
370	161	273
371	161	272
372	161	271
373	161	270
374	162	270
375	162	269
376	162	268
377	162	267
378	162	267
379	163	266
380	163	265
381	163	264
382	164	264
383	164	263
384	164	262
385	164	262
386	165	261
387	165	260
388	166	261
389	166	260
390	166	260
391	167	259
392	167	258
393	167	258
394	168	257
395	168	256
396	168	256
397	168	255
398	169	254
399	169	254
400	169	253
401	169	252
402	170	251
403	170	251
404	170	250
405	170	249
406	170	249
407	171	248
408	171	247
409	171	247
410	171	246
411	172	245
412	172	245
413	172	244
414	173	243
415	173	243
416	173	242
417	173	241
418	174	241
419	174	240
420	174	240
421	174	239
422	175	238
423	175	238
424	175	237
425	175	237
426	176	236
427	176	235
428	176	235
429	177	235
430	177	234
431	178	234
432	178	233
433	178	233
434	178	232
435	179	231
436	179	231
437	179	230
438	180	230
439	180	229
440	180	228
441	180	228
442	181	227
443	181	227
444	181	226
445	181	225
446	182	225
447	182	224
448	182	224
449	183	223
450	183	223
451	183	222
452	183	222
453	184	221
454	184	220
455	184	220
456	184	219
457	185	219
458	185	218
459	185	217
460	185	217
461	186	216
462	186	216
463	186	215
464	186	215
465	187	214
466	187	213
467	187	213
468	188	212
469	188	212
470	188	211
471	188	211
472	189	210
473	189	210
474	189	209
475	189	209
476	190	209
477	191	208
478	191	208
479	191	207
480	191	207
481	192	206
482	192	205
483	192	205
484	192	204
485	193	204
486	193	203
487	193	203
488	193	202
489	194	201
490	194	201
491	194	200
492	194	200
493	195	199
494	195	199
495	195	198
496	195	198
497	196	197
498	196	197
499	196	196
500	196	196
501	197	195
502	197	194
503	197	194
504	197	193
505	198	193
506	198	192
507	198	192
508	198	191
509	198	191
510	199	190
511	199	190
512	199	189
513	200	189
514	200	188
515	200	188
516	200	187
517	201	187
518	201	186
519	201	186
520	201	185
521	202	185
522	202	184
523	202	184
524	202	183
525	203	183
526	203	182
527	203	182
528	204	181
529	205	182
530	205	181
531	205	180
532	205	180
533	206	179
534	206	179
535	206	178
536	206	178
537	207	178
538	207	177
539	207	177
540	208	176
541	208	176
542	208	175
543	208	175
544	209	174
545	209	174
546	209	173
547	209	173
548	210	172
549	210	172
550	210	171
551	210	171
552	211	170
553	211	170
554	211	169
555	211	169
556	212	168
557	212	168
558	212	167
559	212	167
560	213	166
561	213	166
562	213	165
563	213	165
564	214	164
565	214	164
566	214	163
567	214	163
568	215	162
569	215	162
570	215	161
